"Id","Title","Time","Description","Link"
"21","1st ODI: Deepak Chahar shines on return as India thump Zimbabwe by 10 wickets","1660830263030","Pacer Deepak Chahar made an impressive comeback to international cricket with an incisive spell and openers maintained their consistency as India outclassed Zimbabwe by 10 wickets in the opening ODI. Donning the blue jersey for the first time in 6 months, Chahar returned figures of 3/27, as India restricting Zimbabwe to a sub-par 189. India then chased down the target with 115 balls to spare.","https://timesofindia.indiatimes.com/sports/cricket/india-vs-zimbabwe-1st-odi-highlights-deepak-chahar-shines-on-return-as-india-thump-zimbabwe-by-10-wickets/articleshow/93643846.cms"
"22","Are you telling me Shikhar Dhawan is not good for T20Is? You can't say that: Kaif","1660828163030","Shikhar Dhawan is in fact a great example. Most IPL teams would be more than happy to have him in their ranks. In the 2020 edition of the IPL Dhawan scored 618 runs, with 2 hundreds and 4 fifties. He had an average of 44.14. In 2021, he scored 587 runs. In this year's edition he scored 460 runs. Overall he has 6244 career IPL runs at an average of over 35. And yet he is not a regular pick in India's T20I teams.","https://timesofindia.indiatimes.com/sports/cricket/news/are-you-telling-me-shikhar-dhawan-is-not-good-for-t20is-you-cant-say-that-mohammad-kaif/articleshow/93642891.cms"
"23","Sometimes in a room full of people who love me, I felt alone: Virat Kohli","1660807148030","Indian cricket superstar Virat Kohli, who took his team to unprecedented heights, says he has struggled with his mental health throughout his career, local media reported on Thursday.","https://timesofindia.indiatimes.com/sports/cricket/news/virat-kohli-opens-up-about-mental-health-struggle/articleshow/93634701.cms"
"24","Deep pockets needed to persuade Glazers to sell Manchester United","1660830095030","British billionaire Jim Ratcliffe's interest in buying Manchester United has raised the hopes of the club's supporters that their American owners, the Glazer family, might now sell the club and pave the way for a return to glory on the field.","https://timesofindia.indiatimes.com/sports/football/epl/top-stories/deep-pockets-needed-to-persuade-glazers-to-sell-manchester-united/articleshow/93643753.cms"
"25","Live: England vs South Africa, 1st Test Day 2","1660722176030","","https://timesofindia.indiatimes.com/sports/cricket/live-cricket-score-updates-england-vs-south-africa-2022-1st-test/liveblog/93612177.cms"
"26","In Pics - Dhawan, Gill lead India to 10-wicket win over Zimbabwe in first ODI","1660830833030","","https://timesofindia.indiatimes.com/sports/cricket/in-pics-shikhar-dhawan-shubman-gill-lead-india-to-10-wicket-win-over-zimbabwe-in-first-odi/photostory/93644035.cms"
"27","SC orders status quo, says HC-appointed CoA will not take over affairs of IOA","1660830957030","In an interim relief, the Supreme Court on Thursday ordered the status quo and said the Delhi High Court-appointed three-member Committee of Administrators (COA) will not take over the affairs of the Indian Olympic Association.","https://timesofindia.indiatimes.com/sports/more-sports/others/sc-orders-status-quo-says-delhi-hc-appointed-coa-will-not-take-over-affairs-of-ioa/articleshow/93644040.cms"
"28","Mohammed Siraj to play Warwickshire's last three County games","1660823336030","India fast bowler Mohammed Siraj will join the English county bandwagon as he gears up to play Warwickshire's last three first-class games in September. Siraj is currently playing the ODI series in Zimbabwe but is not there in India's T20 scheme of things.","https://timesofindia.indiatimes.com/sports/cricket/news/mohammed-siraj-to-play-warwickshires-last-three-county-games/articleshow/93641328.cms"
"29","Chelsea probe alleged racist abuse against Spurs forward Son","1660830854030","Chelsea are investigating after racist abuse was allegedly directed against Tottenham forward Son Heung-min at Stamford Bridge, threatening the ""strongest action"".","https://timesofindia.indiatimes.com/sports/football/epl/top-stories/chelsea-probe-alleged-racist-abuse-against-spurs-forward-son-heung-min/articleshow/93644045.cms"
"30","Live Score: Netherlands vs Pakistan, 2nd ODI","1660811616030","","https://timesofindia.indiatimes.com/sports/cricket/news/live-cricket-score-updates-netherlands-vs-pakistan-2nd-odi/liveblog/93636418.cms"
"31","FIFA sells 2.45 million tickets for Qatar World Cup","1660827561030","Organisers have sold 2.45 million tickets for this year's World Cup in Qatar, world soccer governing body FIFA said on Thursday, with more than half a million of them sold in the last sales period from July 5-16.","https://timesofindia.indiatimes.com/sports/football/top-stories/fifa-sells-2-45-million-tickets-for-qatar-world-cup/articleshow/93643057.cms"
"32","Liverpool's problems dwarfed by Man United's ahead of Old Trafford clash","1660824057030","With four points dropped in their opening two games, Liverpool's margin for error in the expected title race with Manchester City already looks seriously depleted as they prepare for their clash with Manchester United at Old Trafford on Monday.","https://timesofindia.indiatimes.com/sports/football/epl/top-stories/liverpools-problems-dwarfed-by-man-uniteds-ahead-of-old-trafford-clash/articleshow/93641549.cms"
"33","Vingegaard having 'tough time' after Tour de France triumph","1660817873030","Danish cyclist Jonas Vingegaard has been having a ""tough time"" since winning the Tour de France in July, the sporting director of his club Jumbo Visma said Thursday.","https://timesofindia.indiatimes.com/sports/more-sports/cycling/vingegaard-having-tough-time-after-tour-de-france-triumph/articleshow/93638887.cms"
"34","We lost to Pakistan last time, but we're playing differently now: Rohit","1660789393030","With India playing non-stop cricket and the threat of players getting injured or being infected by Covid-19, captain Rohit Sharma stressed that he and coach Rahul Dravid had discussed about ""creating a bench strength,"" considering the amount of cricket the team plays, weighing in the injury factor.","https://timesofindia.indiatimes.com/sports/cricket/asia-cup/team-is-playing-differently-says-rohit-sharma-ahead-of-asia-cup/articleshow/93627271.cms"
"35","Nadal not discouraged by losing on return, says will be ready for US Open","1660809637030","Rafael Nadal was not too downhearted by defeat at the Cincinnati Open on Wednesday after the Spaniard lost 7-6(9) 4-6 6-3 to Borna Coric on his return from a six-week injury layoff.","https://timesofindia.indiatimes.com/sports/tennis/top-stories/rafael-nadal-not-discouraged-by-losing-on-return-says-will-be-ready-for-us-open/articleshow/93635684.cms"
"36","ICC FTP 2023-27: India to play as many as 61 T20Is, will co-host 2026 T20 WC","1660791582030","​The Indian Premier League got bigger last year with the inclusion of two new teams. Now, it's time to get longer as well.","https://timesofindia.indiatimes.com/sports/cricket/news/future-tours-and-programmes-icc-allows-longer-window-for-ipl/articleshow/93628263.cms"
"37","Brooks powers West Indies to 5-wicket win over NZ in 1st ODI","1660792706030","After the home side's bowling combination of pace and spin dismissed the visitors for 190 off 45.2 overs batting first, Brooks's 91-ball 79 with nine fours and one six provided the much-needed solidity to take his team to 193 for five off 39 overs in reply.","https://timesofindia.indiatimes.com/sports/cricket/news/shamarh-brooks-powers-west-indies-to-five-wicket-win-over-new-zealand-in-first-odi/articleshow/93628514.cms"
"38","LeBron James agrees 2-year extension with Lakers for $97 million: Reports","1660794855030","The deal, according to media reports, includes a player option for the 2024-25 season, in which James could see his 17-year-old son Bronny become an NBA rookie.","https://timesofindia.indiatimes.com/sports/more-sports/others/lebron-james-agrees-two-year-extension-with-la-lakers-for-97-million-reports/articleshow/93628954.cms"
"39","Coric crashes Nadal's 'welcome back' party in Cincinnati","1660795808030","Borna Coric spoiled the return of Rafael Nadal after a five-year absence from the ATP and WTA Cincinnati Masters on Wednesday with a 7-6 (11/9), 4-6, 6-3 upset victory in the second round.","https://timesofindia.indiatimes.com/sports/tennis/top-stories/borna-coric-crashes-rafael-nadals-welcome-back-party-in-cincinnati/articleshow/93629205.cms"
"40","Rohit Sharma is a bit laid-back captain, says Sourav Ganguly","1660751735030","BCCI president Sourav Ganguly on Wednesday termed Rohit Sharma a ""laid-back captain"" and said the Mumbaikar should be given some time to produce results.","https://timesofindia.indiatimes.com/sports/cricket/news/rohit-sharma-is-a-bit-laid-back-captain-says-sourav-ganguly/articleshow/93622847.cms"
"41","Kulsum wins feature event ","1660831707000","","https://www.thehindu.com/sport/races/kulsum-wins-feature-event/article65784161.ece"
"42","FIFA ban effect: Kerala Blasters’ pre-season matches in UAE cancelled  ","1660830487000","Special Correspondent","https://www.thehindu.com/sport/kerala-blasters/article65783984.ece"
"43","Mumbai City sails past Indian Navy ","1660830161000","Chhangte nets two as the former ISL champion rallies to win","https://www.thehindu.com/sport/football/mumbai-city-sails-past-indian-navy/article65783757.ece"
