"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"20"," Premier League: Wounded Manchester United never easy to play, says Liverpool boss Jurgen Klopp ","1660905009030","     PL: Wounded Man United never easy to play, says Liverpool boss Klopp"," https://www.indiatoday.in/sports/football/story/premier-league-wounded-manchester-united-never-easy-to-play-says-liverpool-boss-jurgen-klopp-1990037-2022-08-19?utm_source=rss ","3","SPORTS"
"21","Erik ten Hag praises Manchester United’s ‘fighting spirit’ in Liverpool win","1661208275000","United beat Liverpool 2-1 with goals from Sancho and Rashford‘It’s all about attitude. You can see what they can achieve’A delighted Erik ten Hag praised Manchester United’s attitude in the rousing 2-1 win over Liverpool and predicted there is better to come from his team.United were unrecognisable from the rabble who were defeated 4-0 at Brentford and had taken no points from their opening two matches. Continue reading...","https://www.theguardian.com/football/2022/aug/22/erik-ten-hag-praises-manchester-uniteds-fighting-spirit-in-liverpool-win","3","SPORTS"
"22","Fan protests threaten to overshadow Manchester United vs Liverpool tie","1661180274000","","https://indianexpress.com/article/sports/football/fan-protests-threaten-to-overshadow-manchester-united-vs-liverpool-tie-8105510/","3","SPORTS"
"23","Ronaldo has Man United future despite Liverpool axe: Ten Hag","1661255831030","Erik ten Hag insists Cristiano Ronaldo still has a future at Manchester United after the Portugal star suffered the embarrassment of being dropped for his side's rousing 2-1 win against Liverpool.","https://timesofindia.indiatimes.com/sports/football/epl/top-stories/ronaldo-has-man-united-future-despite-liverpool-axe-ten-hag/articleshow/93733355.cms","3","SPORTS"
"24","Erik Ten Hag Should Drop Cristiano Ronaldo and Marcus Rashford for Liverpool Clash: Wayne Rooney","1661074562030","Manchester United are rooted to the bottom of the Premier League for the first time in 30 years and take on Liverpool next","https://www.news18.com/news/football/erik-ten-hag-should-drop-cristiano-ronaldo-and-marcus-rashford-for-liverpool-clash-wayne-rooney-5794237.html","3","SPORTS"
"25"," Cristiano Ronaldo can still fit into my style at Manchester United, says Erik Ten Hag ","1661253126030","     Ronaldo can still fit into my style at Manchester United: Erik Ten Hag"," https://www.indiatoday.in/sports/football/story/cristiano-ronaldo-manchester-united-future-erik-ten-hag-style-1991579-2022-08-23?utm_source=rss ","3","SPORTS"
"26","Manchester United vs Liverpool: Bench Cristiano Ronaldo, Marcus Rashford, says Wayne Rooney","1661094914000","","https://indianexpress.com/article/sports/football/manchester-united-vs-liverpool-bench-cristiano-ronaldo-marcus-rashford-says-rooney-8103647/","3","SPORTS"
"27","No rest: Less than 24 hours after beating Liverpool, Manchester United stars back at training","1661320758000","","https://indianexpress.com/article/sports/football/no-rest-less-than-24-hours-after-beating-liverpool-manchester-united-stars-back-at-training-8108418/","3","SPORTS"
"28"," 2-1 defeat at Manchester United 'our fault': Jurgen Klopp as Liverpool remain winless in Premier League  ","1661267653030","     2-1 defeat at Manchester United 'our fault': Klopp as Liverpool remain winless in PL"," https://www.indiatoday.in/sports/football/story/2-1-defeat-at-manchester-united-our-fault-jurgen-klopp-as-liverpool-remain-winless-in-premier-league-1991687-2022-08-23?utm_source=rss ","3","SPORTS"
"29","Manchester United vs Liverpool, Premier League: When and where to watch?","1661143027000","","https://indianexpress.com/article/sports/football/manchester-united-vs-liverpool-live-streaming-ist-time-tv-channel-8103708/","3","SPORTS"
"30","Man United vs Liverpool | Ten Hag hails attitude, Klopp concerned after 3rd winless game ","1661252943000","After the 2-1 win over Liverpool, Manchester United manager Erik ten Hag hailed his team’s attitude and added that Cristiano Ronaldo, who did not start the Premier League game, was still in his plans","https://www.thehindu.com/sport/football/manchester-united-vs-liverpool-erik-ten-hag-hails-attitude-ronaldo-in-plans-jurgen-klopp-concerned-3rd-winless-game/article65801189.ece","3","SPORTS"
"31"," Erik ten Hag hails Manchester United’s ‘fighting spirit’ after stunning Liverpool win ","1661220399030","     Erik ten Hag hails Manchester United’s ‘fighting spirit’ after Liverpool win"," https://www.indiatoday.in/sports/football/story/erik-ten-hag-hails-manchester-united-s-fighting-spirit-after-stunning-liverpool-win-1991321-2022-08-23?utm_source=rss ","3","SPORTS"
"32","Premier League: Manchester United Stun Liverpool With 2-1 Victory at Old Trafford","1661225001030","Composed finishes by Jadon Sancho in the 16th minute and Marcus Rashford in the 53rd earned a victory at Old Trafford that will bring some respite for under-pressure manager Erik ten Hag, who made a huge statement in his team selection by dropping star striker Cristiano Ronaldo and club captain Harry Maguire and was validated","https://www.news18.com/news/football/premier-league-manchester-united-stun-liverpool-with-2-1-victory-at-old-trafford-5802553.html","3","SPORTS"
"33","Tom Brady returns to Tampa Bay Buccaneers training camp after 11-day absence ","1661242715000","""Missed you guys."" Tom Brady returned to the Tampa Bay Buccaneers' training camp on Monday following an 11-day leave of absence.","https://www.cnn.com/2022/08/23/sport/tom-brady-returns-to-practice-tampa-bay-buccaneers-spt-intl/index.html","4","SPORTS"
"34","Injured Little Leaguer's skull cap to be put back in Friday after which he is 'most likely' to return to Utah","1661301143000","Doctors for Easton Oliverson, the injured Little League Baseball World Series player, said that his skull cap will be put back in on Friday, according to an Instagram account set up to provide updates on the 12-year-old's recovery. He will ""most likely"" return to Utah after the procedure.","https://www.cnn.com/2022/08/23/sport/easton-oliverson-little-leaguer-update-spt-intl/index.html","5","SPORTS"
"35","Ellen White, England women's all-time leading goal scorer, announces retirement","1661186697000","Ellen White, England women's football all-time leading goal scorer, announced her retirement on Monday in a heartfelt message posted on social media.","https://www.cnn.com/2022/08/22/football/ellen-white-retirement-england-spt-intl/index.html","6","SPORTS"
"36","Rory McIlroy throws fan's remote-controlled ball into water at BMW Championship","1661186491000","From human streakers to deer and alligators, course intruders have taken many forms in golf's long history, but Saturday saw a 21st century twist on the trespassing trend -- a remote-controlled ball.","https://www.cnn.com/2022/08/22/golf/rory-mcilroy-remote-controlled-ball-fan-spt-intl/index.html","7","SPORTS"
"37","Robert Lewandowski and Barcelona impress against Real Sociedad, but did Ousmane Dembélé escape red card?","1661166370000","Robert Lewandowski and his new Barcelona teammates showed how dangerous they might be this season with a thumping 4-1 victory over Real Sociedad on Sunday, but it wasn't without controversy. ","https://www.cnn.com/2022/08/22/football/barcelona-real-sociedad-la-liga-spt-intl/index.html","8","SPORTS"
"38","'Please don't forget about us,' says Ukrainian football legend Andriy Shevchenko","1660648201000","As he urges the world not to forget about those still facing imminent danger from Russian forces, Ukrainian soccer icon Andriy Shevchenko says sport has a major role to play in uniting people behind his country, ","https://www.cnn.com/2022/08/12/football/andriy-shevchenko-ukraine-war-effort-spt-intl/index.html","9","SPORTS"
"39","Ukrainian tennis star on a 'mission' to help war-torn country ","1660648231000","Ukrainian tennis player Elina Svitolina says she has a ""mission"" to help her country and wants to use her platform to provide hope to the war-torn nation. ","https://www.cnn.com/2022/06/27/tennis/elina-svitolina-ukraine-united-24-spt-intl/index.html","10","SPORTS"
"40","'This is not saving, this is destruction': Ukrainian MMA champion Yaroslav Amosov recounts the horrors of war","1652790342000","As MMA fighter Yaroslav Amosov walks through the streets surrounding his hometown of Irpin, which sits around 20 kilometers (12.4 miles) west of the Ukrainian capital Kyiv, there are fleeting moments when it seems like an ordinary day in May.","https://www.cnn.com/2022/05/10/sport/yaroslav-amosov-mma-bellator-ukraine-russian-invasion-spt-intl/index.html","11","SPORTS"
"41","Tennis star Marta Kostyuk asks 'What am I living for?' as Ukrainians grapple with the toll of Russia's invasion","1651319278000","","https://www.cnn.com/2022/04/29/tennis/marta-kostyuk-tennis-ukraine-russia-spt-intl/index.html","12","SPORTS"
"42","Is this Nigerian teen the next women's golf prodigy?","1661156196000","16-year-old Iyeneobong ""Iyene"" Essien is taking the international golf scene by storm. Essien is Nigeria's No. 1 Junior Girls' golfer and opens up to CNN about her pursuit to make it to the pros.","https://www.cnn.com/2022/08/22/sport/iyeneobong-essien-golf-nigeria-spc-spt-intl/index.html","13","SPORTS"
"43","'It's phenomenal': How remarkable engineering allowed a quadriplegic former NASCAR driver to race again","1660905288000","As racing driver Sam Schmidt tears around the historic Goodwood Racetrack in a McLaren 720S, reaching speeds in excess of 150 miles per hour, from the outside this looks like an ordinary practice session.","https://www.cnn.com/2022/08/17/motorsport/sam-schmidt-arrow-mclaren-sam-car-spt-intl/index.html","14","SPORTS"
"44","Golfer braced for new life after history-making first major win ","1660223596000","","https://www.cnn.com/2022/08/11/golf/ashleigh-buhai-womens-british-open-muirfield-spt-intl/index.html","15","SPORTS"
"45","'It's a hopeless situation,' says footballer Nadia Nadim a year since the Taliban's takeover in Afghanistan ","1661168257000","With this week marking a year since the Taliban regained control of Afghanistan, football star Nadia Nadim is coming to terms with a ""weird feeling.""","https://www.cnn.com/2022/08/22/football/nadia-nadim-afghanistan-denmark-football-spt-intl/index.html","16","SPORTS"
"46","How two mountain bikers produced a stunning feat of skill","1660814378000","Hurtling simultaneously down a dirt-track on a mountain bike may not be everyone's idea of fun, but for Kade Edwards and Brandon Semenuk, it's a chance to push the limits of what's possible on two wheels. ","https://www.cnn.com/2022/08/18/sport/mountain-bikers-parallel-ii-kade-edwards-brandon-semenuk-spt-intl/index.html","17","SPORTS"
