"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"21","Brad Pitt and Angelina Jolie's 2016 plane incident: FBI report reveals new details","1660841645000","Angelina Jolie accused Brad Pitt of injuring her and verbally abusing their children during a heated encounter aboard a private jet in 2016, according to an FBI report provided to CNN by a source. ","https://www.cnn.com/2022/08/18/entertainment/angelina-jolie-brad-pitt-fbi-report/index.html","21","ENTERTAINMENT"
"22","'Twilight Saga: New Moon' director regrets rejecting Taylor Swift from film","1660843838000","The world was denied a Taylor Swift cameo in ""The Twilight Saga: New Moon."" The person who made that call now wishes he hadn't.","https://www.cnn.com/2022/08/18/entertainment/taylor-swift-twilight-saga/index.html","22","ENTERTAINMENT"
"23","Tim Burton's 'Wednesday' trailer is dark and magical","1660775330000","The Addams Family is back. This time thanks to director Tim Burton. ","https://www.cnn.com/2022/08/17/entertainment/wednesday-tim-burton-netflix/index.html","23","ENTERTAINMENT"
"24","How the team behind Netflix's 'Untold' reframed the Manti Te'o girlfriend hoax ","1660666408000","Manti Te'o used to be revered. ","https://www.cnn.com/2022/08/16/entertainment/manti-teo-untold-netflix-q-and-a-cec/index.html","24","ENTERTAINMENT"
"25","'Bullet Train' moves plenty fast","1659724205000","""Bullet Train"" certainly moves at an appropriately brisk pace, with Brad Pitt heading a sprawling cast. But the breakneck action is offset by a smart-alecky tone that proves both uneven and occasionally too cute for its own good, along with a mashup of styles -- from the music to the visuals -- that comes across like a Quentin Tarantino wannabe, with a dash of ""Deadpool"" for good measure.","https://www.cnn.com/2022/08/02/entertainment/bullet-train-review/index.html","25","ENTERTAINMENT"
"26","'House of the Dragon' plays a less-addictive game for an earlier throne","1660922186000","HBO has followed the majesty of ""Game of Thrones"" with what might be called ""games of throne"" in ""House of the Dragon,"" a series whose epic visual grandeur belies a smaller and less addictive power struggle, more narrowly focused on the Targaryen line. It's not bad, and there are dragons aplenty, but it doesn't produce the sort of characters that defined and elevated its predecessor to prestige-TV royalty.","https://www.cnn.com/2022/08/19/entertainment/house-of-the-dragon-review/index.html","26","ENTERTAINMENT"
"27","'A League of Their Own' gets a makeover in an ambitious but uneven Amazon series","1660238609000","Thirty years later, ""A League of Their Own"" receives a major makeover in a narratively ambitious but uneven Amazon series, providing timely filters on the World War II-era drama while dialing down the laughs. Specifically, the show considers what it was like to be a lesbian or Black during that period, operating along parallel tracks on a slow march through the season.","https://www.cnn.com/2022/08/11/entertainment/a-league-of-their-own-review/index.html","27","ENTERTAINMENT"
"28","How to adapt Jane Austen -- and why it's so hard to get right","1659874409000","It's an act braver than marrying for love, riskier than running away with Mr. Wickham and plainer than Anne Elliot to adapt Jane Austen's beloved, essential books for the screen. ","https://www.cnn.com/2022/08/07/entertainment/jane-austen-adaptations-persuasion-fire-island-cec/index.html","28","ENTERTAINMENT"
"29","'Right to Offend' charts the 'Black Comedy Revolution' from the '60s through today","1656509268000","""Right to Offend: The Black Comedy Revolution"" conspicuously overlaps with other recent documentaries, including projects devoted to the legacies of Dick Gregory and Bill Cosby. Yet this two-part A&E production stands out in contemplating the unique role that Black comedians have played in calling out injustice and giving voice to how society has changed across decades.","https://www.cnn.com/2022/06/29/entertainment/right-to-offend-black-comedy-revolution-review/index.html","29","ENTERTAINMENT"
"30","'The Sandman' finally fulfills the dream of adapting Neil Gaiman's acclaimed comic","1659707351000","After years of failed attempts to bring Neil Gaiman's acclaimed and surreal comic to the screen, Netflix finally creates a home for ""The Sandman,"" armed with enough top-notch British guest stars to populate a Harry Potter movie. The resulting series is visually striking but dramatically listless, made for those -- and maybe only those -- who already possess degrees in Sandman 101.","https://www.cnn.com/2022/08/05/entertainment/the-sandman-review/index.html","30","ENTERTAINMENT"
